epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.915,1.47008,1.10689,1.49282,0.91172,0.85468,0.92363,0.57457,1.52157,1.46407,1.68461,0.000666065,0.000666065,0.000666065
2,512.354,1.43276,0.94728,1.50005,0.91155,0.85629,0.92551,0.58422,1.49001,1.33984,1.69905,0.00133222,0.00133222,0.00133222
3,783.829,1.40568,0.92207,1.49011,0.91146,0.86788,0.93358,0.59093,1.39502,1.21648,1.60984,0.00199635,0.00199635,0.00199635
4,1045.5,1.39087,0.8704,1.46383,0.91263,0.86932,0.93235,0.5931,1.39458,1.2155,1.58403,0.00199314,0.00199314,0.00199314
5,1309.86,1.35606,0.84691,1.4449,0.91203,0.86873,0.93277,0.60247,1.36742,1.18426,1.61284,0.00198781,0.00198781,0.00198781
6,1577.1,1.33199,0.8231,1.43423,0.90812,0.86525,0.93108,0.60202,1.3723,1.17807,1.61297,0.00198098,0.00198098,0.00198098
7,1840.65,1.3318,0.81215,1.44045,0.908,0.87637,0.93686,0.60231,1.32688,1.11984,1.56943,0.00197265,0.00197265,0.00197265
8,2109.26,1.30592,0.79609,1.42389,0.92005,0.8797,0.94351,0.61527,1.29604,1.0773,1.55242,0.00196283,0.00196283,0.00196283
9,2360.32,1.30554,0.79177,1.43338,0.90887,0.88021,0.93921,0.61167,1.30519,1.08472,1.55074,0.00195155,0.00195155,0.00195155
10,2623.07,1.28838,0.76691,1.41636,0.90743,0.88214,0.94247,0.62287,1.28694,1.03287,1.51582,0.00193881,0.00193881,0.00193881
11,2887.42,1.28688,0.76331,1.41519,0.91206,0.8833,0.94366,0.62112,1.30181,1.05286,1.53209,0.00192464,0.00192464,0.00192464
12,3141.56,1.27296,0.74726,1.40451,0.91279,0.88312,0.94205,0.61979,1.26174,1.03255,1.50717,0.00190906,0.00190906,0.00190906
13,3381.97,1.27638,0.75411,1.40477,0.90841,0.8862,0.94208,0.62302,1.28696,1.02133,1.52312,0.0018921,0.0018921,0.0018921
14,3614.43,1.27455,0.7645,1.40347,0.90522,0.8838,0.94003,0.62465,1.24492,1.0571,1.49041,0.00187377,0.00187377,0.00187377
15,3847.42,1.26169,0.7374,1.39164,0.91028,0.88406,0.94194,0.62235,1.28016,1.06217,1.51733,0.00185411,0.00185411,0.00185411
16,4078.26,1.26193,0.74201,1.40193,0.91626,0.88263,0.94489,0.61868,1.2831,1.01021,1.52176,0.00183315,0.00183315,0.00183315
17,4308.82,1.253,0.71906,1.39978,0.91777,0.88722,0.94745,0.63193,1.26154,0.98815,1.50832,0.00181093,0.00181093,0.00181093
18,4539.6,1.24932,0.73435,1.39716,0.91314,0.8922,0.94716,0.62889,1.27408,0.99855,1.51469,0.00178746,0.00178746,0.00178746
19,4791.83,1.24412,0.71817,1.39124,0.91096,0.89341,0.94712,0.6314,1.23417,0.97113,1.48999,0.0017628,0.0017628,0.0017628
20,5062.44,1.22548,0.71906,1.38791,0.92004,0.89008,0.94928,0.63546,1.21646,0.95012,1.47723,0.00173698,0.00173698,0.00173698
21,5326.8,1.23781,0.71041,1.39608,0.91224,0.89244,0.9479,0.63474,1.23031,0.94851,1.47381,0.00171004,0.00171004,0.00171004
